Response ID	Which best describes your primary work area?	"If you selected Other, please describe your primary work area "	How many years have you worked in the software industry? (decimals okay)	How many years have you worked at Microsoft? (decimals okay)		How many developers are on your immediate team (including yourself)?	Is it a policy in your team to perform code reviews?	"What are your motivations for code review? Please pick the three most important ones (in order, without ties) from the following list"	"If you have other motivations for code review that are in the top three but are not listed above, please list them here."		Consider the following questions from the perspective of you being the reviewer of a code review submission.	"As a reviewer, under which conditions do you need to talk in person to the author of a code review submission?"	"As a reviewer, if the files being modified by a code review submission are owned by you (or you are very familiar with them), how often do you talk in person with the author of the code review?"	"As a reviewer, if the files being modified by a code review submission are unfamiliar to you (or are new), how often do you talk in person with the author of the code review?"	Does it take longer to review files that you are not familiar with (or files that are new)?	Why or why not?	How much understanding of the code review submission do you need for achieving the following:		Consider the following questions from the perspective of you being the author of a code review submission.	How do you select the people to send your code review to?	Is there a difference in comments/feedback you receive when a reviewer is very familiar with or the owner of the files you changed in a code review? 	"If there is a difference, what is different in the comments/feedback?"	"If you have any additional feedback that you feel would be helpful to our research in this area, please share it here.  (Remember that the survey is anonymous, so please enter your alias below if your feedback requires follow-up.)"	"If you would like to be notified with the results of our research, please email us (alias cbird) or enter your alias here and we will send it to you when it is completed."	"If you would like to be entered into a drawing for one of two $50 Amazon gift cards, please enter your alias here or, if you are worried about anonymity, email us (alias cbird) with subject ""Code Review Survey Drawing""."
6503466	Test		7	6		4	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Third Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Not Top 3 Importance;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / First Most Important"				"If the review contains a long list of files, and there isn't enough explained in the summary comments what the change is about, what is the high level design and approach."	Never	up to 25% of the time	Yes	Reading code in CodeFlow in plain text without intellisense of visual studio makes it harder to quickly jump around the files and follow the flow of the code. Reading files in order as they appear in CodeFlow is not optimal. As a result a file already reviewed for syntax and design style and conventions may have to be revisited to understand the logic once you locate the caller of that code.	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Complete understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			"Code review DL. In some cases, I include the owner of the code file I am modifying explicitly."	Yes	"The quality of the comments varies a lot. If the person reviewing my code is already familiar with its design and motivations, he is already on the same page as me. At this point, the comments will be to purely improve my code by suggesting better ideas. If it is someone who is not familiar with the code, there will be a part of the comments that are more like questions trying to understand what the code does and why does it do it this way. And by the end of this back and forth, the reviewer can hit 'review fatigue' and not do the real value adding review."	"Add ability for intellisense (which will help us in understanding unfamiliar code faster), give an option to see the change history for the file (which will help us understand how old the code is, or how frequently it is being modified)"	rmisar	rmisar
6503467	Development		20	15		8	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Third Most Important;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				"When I don't understand a particular piece of code.  Or when they have ""won't fixed"" a change that I would require fixed.  "	between 50% and 75% of the time	up to 25% of the time	Yes	"Because I'm often not familiar with the feature being developed, nor with the partner dependencies the code is calling into. "	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"I choose another senior dev on my team, or a previous owner of the code.  I also include the test owner of the feature.  "	No			kenwic	kenwic
6503468	Test		14	12		8	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Third Most Important;#Helping improving the development process in general / Not Top 3 Importance"				"1. resolve ambiguous comments 2. quicker resolution of issues, especially if there are many iterations done in codeflow or if a checkin needs to be made quickly  "	up to 25% of the time	up to 25% of the time	Yes	sometimes we may need to know more of a new area and then sign-off on it.	"Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / High understanding;#Keeping track of comments and rationale on code changes / No understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding"			"feature team, peers, owners of files/ areas"	Yes	history of why some thing is developed in a certain manner. Or new ideas on how something can be done better		chandko	chandko
6503469	Test		15	15		5	Yes	"Avoiding build breaks / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Second Most Important;#Finding defects/bugs / Third Most Important"				If they don't understand my written suggestions.	up to 25% of the time	up to 25% of the time	Yes	Have to read more existing code to generate a context on the fix or change.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / No understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / No understanding;#Generate better ideas, alternative approaches / No understanding;#Helping improving the development process in general / No understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"Based on who is the integration partner, co-owner of code, and sometimes specific reviewers for specific types of code (Tools Reviewer, for example)"	Yes	"People unfamiliar with the code, generally just complain about comments or formatting, rather than functionality."			robmo
6503470	Test		14	4		5	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Not Top 3 Importance;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				The code is incorrect. Or I need to better understand what the code is trying to do.	up to 25% of the time	More than 75% of the time	Yes		"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			"The owner of the file, and people who are familiar with this code."	Yes	"The comments are more useful, helpful, and educational."		xizhou	xizhou
6503471	Development		4.5	3		47	Yes	"Avoiding build breaks / First Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Third Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				If the author does not reply well in written correspondence; if the author has made a huge change whose core design I do not agree with; if I do not understand why a change is affecting the code in the way he claims it does.	up to 25% of the time	up to 25% of the time	Yes	"If I don't know how often a particular function is called, or in what contexts, I like to understand them before signing off on a code review."	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / No understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Complete understanding"			Code function/file owners; feature area experts.	Yes	"When a reviewer is more familiar, he tends to spot possible defects or scenarios my fix doesn't cover better."			jbest
6503472	Development		12	12		26	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Third Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				"If the overall motivation or design needs discussion.  If the code review goes too many iterations, or if one point of discussion has too many back-and-forths. If the code review uncovers a case where a spec needs to be updated. If I need additional orientation to understand the problem domain."	up to 25% of the time	between 25% and 50% of the time	Yes		"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			Immediate feature team or experts in the type of code being reviewed.	Yes	Less familiar reviewers are less likely to catch subtle system-affecting logic errors or deviance from coding style.			
6503473	Test		10	10		5	Yes	"Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / Third Most Important"				When the code changes or motivation for code changes are not immediately obvious.	up to 25% of the time	up to 25% of the time	Yes	It takes more time to understand the context of the change and to determine what side effects will result.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Complete understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			"I choose who is most familiar with the code, along with others who may be interested."	Yes	"Comments from people unfamiliar tend to be more superficial. Comments from people who are more familiar tend to be deeper and more complete, with greater focus on preventing issues at a deeper level (e.g. integration issues)."		louiscl	louiscl
6503474	Test		15	10		200	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Not Top 3 Importance;#Generate better ideas, alternative approaches / Third Most Important;#Helping improving the development process in general / Second Most Important;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / First Most Important"				"As a reviewer, I would need to talk in person to the author of the code review if there was a change in my area that had a large risk or I didn't understand clearly what is being done. "	between 25% and 50% of the time	up to 25% of the time	Yes	It usually takes longer to review new files or files that I am not familiar with in order to get an idea of the entire change and how it will affect the overall system we are building.	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			I usually select the people who are working on the same feature team as myself or whose component might be affected by a change I am considering.	Yes	The comments tend to be more directed when a reviewer is very familiar with the files that are being changed. These comments tend to be more actionable and pertinent.		randh	randh
6503475	Development		16	2.5		6	Yes	"Avoiding build breaks / Third Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Second Most Important"				I don't understand how the system is supposed to work.	up to 25% of the time	up to 25% of the time	Yes	"You have to determine what the code is doing before you can check for correctness.  In both cases you need to check for typos, etc, but correctness is harder if you are unfamiliar with the code."	"Avoiding build breaks / High understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / No understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / Little understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			1st criteria is folks who will be impacted or who will recognize easily impacts to other systems.  2nd criteria is their code quality.	Yes	"if they are familiar they are more likely to comment on correctness, if they are unfamiliar they are more likely to comment on surface details."	"I don't ever want to live without codeflow.  I send out a codeflow and while its being reviewed by others, I apply the dpk on a second machine to build and test.  I also frequently use it at the end of the day to backup my work and make notes on code changes I""ve made to keep track of my next steps."		jofoste
6503476	Development		20	7.5		8	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Third Most Important"				"When the review required more than just few lines of comments; ex, design issues."	up to 25% of the time	up to 25% of the time	Yes	I need to understand the code and what the change is about	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Finding defects/bugs / No understanding;#Generate better ideas, alternative approaches / Complete understanding"			code owner or the subject specialist	No			vtarnu	vtarnu
6503477	Development		3	3		7	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Third Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				"If the owner of the change appears to have a conceptual misunderstanding of how something works, requiring detailed explanation."	up to 25% of the time	up to 25% of the time	Yes	"I generally will need to examine the entire file rather than only the changed parts.  When I'm familiar with a file, and only part of it is changed, I only need to examine the changed, and related, parts."	"Avoiding build breaks / High understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Complete understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / Little understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / No understanding"			Choosing those with experience writing similar code.  Owners of the original files.	Yes	"Generally if the reviewer is less familiar with the code, there will be less feedback."			masandy
6503478	Development		6	6		5	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Not Top 3 Importance;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Second Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"	Maintain a code quality bar followed by the team.			1. I don't understand code. 2. Solution is partial.	between 25% and 50% of the time	up to 25% of the time	Yes	"It takes longer to understand how code works, therefore the delay."	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Complete understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / No understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / No understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"I pick area experts, people familiar with the code, people who are good at doing code reviews."	No			yurybog	yurybog
6503479	Development		10	3.5		6	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Third Most Important"				I need to talk to the author when 1. The review request is too big with a huge number of files or large chunks of code being changed/added 2. The problem statement or the fix is not obvious 3. The author completely disagrees with the review comments	up to 25% of the time	between 50% and 75% of the time	Yes	"More pieces of the puzzle need solving before I become useful as a reviewer - what the code is meant to do - what it actually does - how the code is laid out : does it have documentation, unit tests etc"	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			I select people in the below order of preference 1. People who are familiar with the problem 2. People who are familiar with the code being modified 3. People who are experts in the language in which the files are being modified. 	Yes	Relevancy of review comments increases when people understand both the problem and the solution.	"Codeflow is awesome but I would like to see the below enhancements to it: 1. Reviewers should be able to do partial sign offs : e.g. I may be a subject matter expert in 5 of the 20 files submitted and I should be able to sign off on just them. 2. Submitters should be encouraged to provide better context of the problem statement. 3. Submitters often want the reviewers to review files in a specific order. Submitters should be able to rearrange files based on their preferred order.  As a meta point, some teams tend to use review process for checking for build errors, while others use it for static code analysis, relying on a different mechanism to catch build errors. I prefer the latter approach, but it might make sense to be aware of the difference that creep in due to this."		insikdar
6503480	Test		2	2		10	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Third Most Important;#Finding defects/bugs / First Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Second Most Important"				I usually talk in person to the author when I don't understand the intention of the code.	up to 25% of the time	Never	Yes	"Need first understand what the code was supposed to do, why there are problems/needs for improvement etc."	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Complete understanding"			1) code/test owner; 2) domain experts 3) improvement team members; 4) component team members.	No			yiweiz	yiweiz
6503481	Development		1	1		6	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Third Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				"If I don't understand what they're trying to do with their changes, or if I disagree with the changes and it can't be resolved in comments.  "	up to 25% of the time	up to 25% of the time	Yes	I may need to look at the surrounding code to figure out what it's trying to do or if there are unintended effects of the change.  	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / No understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"The people who own the changed sections of code, my manager, and people who specifically ask.  "	Yes	"A familiar reviewer tends to notice things that someone else wouldn't - if something is redundant, if something needs to be changed in other places as well, if there's an easier way.  "			grfinkel
6503482	Test		1.5	1		8	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Third Most Important"					up to 25% of the time	Never	Yes	Need to better understand the context for the changes	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / No understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / No understanding"			"Co-worker whom I know already understands my area, or are concerned with what I am doing; Optional reviewer to wider CR alias."	No		"It would be good if it is possible to open other related files within CodeFlow that are not in the changelist. These could be files that are relevant in the context of the change, but not changed in the review."	etse	etse
6503483	Development		9	7		6	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Third Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Third Most Important;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / First Most Important;#Helping improving the development process in general / Second Most Important;#Keeping track of comments and rationale on code changes / Second Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Second Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Second Most Important"				If there is alternative design which is totally different to chat if developer considered it. 	up to 25% of the time	up to 25% of the time	Yes	Have to spend time to understand the code and how it impacts rest of code.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			The person I think knows most about the code and at times to distribute load.	Yes	Such person has higher chance of finding bugs or issues impacting other components.		pangar	pangar
6503484	Test		5.5	5.5		6	Yes	"Avoiding build breaks / First Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Second Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Third Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				Only if I have a big concern about his design and implementation.	Never	between 25% and 50% of the time	Yes	I want to understand the things I don't understand.	"Avoiding build breaks / Complete understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / No understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / No understanding"			the one I think who is familiar with the code I modified.	No			quzhang	quzhang
